 TIME                                   	SERIAL                                  	
  +5.8750000000000000E+01	  +4.5660447916666664E+04	
  +5.9000000000000000E+01	  +4.5660458333333336E+04	
  +5.9250000000000000E+01	  +4.5660468750000000E+04	
  +5.9500000000000000E+01	  +4.5660479166666664E+04	
  +5.9750000000000000E+01	  +4.5660489583333336E+04	
  +6.0000000000000000E+01	  +4.5660500000000000E+04	
  +6.0250000000000000E+01	  +4.5660510416666664E+04	
  +6.0500000000000000E+01	  +4.5660520833333336E+04	
  +6.0750000000000000E+01	  +4.5660531250000000E+04	
  +6.1000000000000000E+01	  +4.5660541666666664E+04	
  +6.1250000000000000E+01	  +4.5660552083333336E+04	
  +6.1500000000000000E+01	  +4.5660562500000000E+04	
  +6.1750000000000000E+01	  +4.5660572916666664E+04	
  +6.2000000000000000E+01	  +4.5660583333333336E+04	
  +6.2250000000000000E+01	  +4.5660593750000000E+04	
  +6.2500000000000000E+01	  +4.5660604166666664E+04	
  +6.2750000000000000E+01	  +4.5660614583333336E+04	
  +6.3000000000000000E+01	  +4.5660625000000000E+04	
  +6.3250000000000000E+01	  +4.5660635416666664E+04	
  +6.3500000000000000E+01	  +4.5660645833333336E+04	
  +6.3750000000000000E+01	  +4.5660656250000000E+04	
  +6.4000000000000000E+01	  +4.5660666666666664E+04	
  +6.4250000000000000E+01	  +4.5660677083333336E+04	
  +6.4500000000000000E+01	  +4.5660687500000000E+04	
  +6.4750000000000000E+01	  +4.5660697916666664E+04	
  +6.5000000000000000E+01	  +4.5660708333333336E+04	
  +6.5250000000000000E+01	  +4.5660718750000000E+04	
  +6.5500000000000000E+01	  +4.5660729166666664E+04	
  +6.5750000000000000E+01	  +4.5660739583333336E+04	
  +6.6000000000000000E+01	  +4.5660750000000000E+04	
  +6.6250000000000000E+01	  +4.5660760416666664E+04	
  +6.6500000000000000E+01	  +4.5660770833333336E+04	
  +6.6750000000000000E+01	  +4.5660781250000000E+04	
  +6.7000000000000000E+01	  +4.5660791666666664E+04	
  +6.7250000000000000E+01	  +4.5660802083333336E+04	
  +6.7500000000000000E+01	  +4.5660812500000000E+04	
  +6.7750000000000000E+01	  +4.5660822916666664E+04	
  +6.8000000000000000E+01	  +4.5660833333333336E+04	
  +6.8250000000000000E+01	  +4.5660843750000000E+04	
  +6.8500000000000000E+01	  +4.5660854166666664E+04	
  +6.8750000000000000E+01	  +4.5660864583333336E+04	
  +6.9000000000000000E+01	  +4.5660875000000000E+04	
  +6.9250000000000000E+01	  +4.5660885416666664E+04	
  +6.9500000000000000E+01	  +4.5660895833333336E+04	
  +6.9750000000000000E+01	  +4.5660906250000000E+04	
  +7.0000000000000000E+01	  +4.5660916666666664E+04	
  +7.0250000000000000E+01	  +4.5660927083333336E+04	
  +7.0500000000000000E+01	  +4.5660937500000000E+04	
  +7.0750000000000000E+01	  +4.5660947916666664E+04	
  +7.1000000000000000E+01	  +4.5660958333333336E+04	
  +7.1250000000000000E+01	  +4.5660968750000000E+04	
  +7.1500000000000000E+01	  +4.5660979166666664E+04	
  +7.1750000000000000E+01	  +4.5660989583333336E+04	
  +7.2000000000000000E+01	  +4.5661000000000000E+04	
  +7.2250000000000000E+01	  +4.5661010416666664E+04	
  +7.2500000000000000E+01	  +4.5661020833333336E+04	
  +7.2750000000000000E+01	  +4.5661031250000000E+04	
  +7.3000000000000000E+01	  +4.5661041666666664E+04	
  +7.3250000000000000E+01	  +4.5661052083333336E+04	
  +7.3500000000000000E+01	  +4.5661062500000000E+04	
  +7.3750000000000000E+01	  +4.5661072916666664E+04	
  +7.4000000000000000E+01	  +4.5661083333333336E+04	
  +7.4250000000000000E+01	  +4.5661093750000000E+04	
  +7.4500000000000000E+01	  +4.5661104166666664E+04	
  +7.4750000000000000E+01	  +4.5661114583333336E+04	
  +7.5000000000000000E+01	  +4.5661125000000000E+04	
  +7.5250000000000000E+01	  +4.5661135416666664E+04	
  +7.5500000000000000E+01	  +4.5661145833333336E+04	
  +7.5750000000000000E+01	  +4.5661156250000000E+04	
  +7.6000000000000000E+01	  +4.5661166666666664E+04	
  +7.6250000000000000E+01	  +4.5661177083333336E+04	
  +7.6500000000000000E+01	  +4.5661187500000000E+04	
  +7.6750000000000000E+01	  +4.5661197916666664E+04	
  +7.7000000000000000E+01	  +4.5661208333333336E+04	
  +7.7250000000000000E+01	  +4.5661218750000000E+04	
  +7.7500000000000000E+01	  +4.5661229166666664E+04	
  +7.7750000000000000E+01	  +4.5661239583333336E+04	
  +7.8000000000000000E+01	  +4.5661250000000000E+04	
  +7.8250000000000000E+01	  +4.5661260416666664E+04	
  +7.8500000000000000E+01	  +4.5661270833333336E+04	
  +7.8750000000000000E+01	  +4.5661281250000000E+04	
  +7.9000000000000000E+01	  +4.5661291666666664E+04	
  +7.9250000000000000E+01	  +4.5661302083333336E+04	
  +7.9500000000000000E+01	  +4.5661312500000000E+04	
  +7.9750000000000000E+01	  +4.5661322916666664E+04	
  +8.0000000000000000E+01	  +4.5661333333333336E+04	
  +8.0250000000000000E+01	  +4.5661343750000000E+04	
  +8.0500000000000000E+01	  +4.5661354166666664E+04	
  +8.0750000000000000E+01	  +4.5661364583333336E+04	
  +8.1000000000000000E+01	  +4.5661375000000000E+04	
  +8.1250000000000000E+01	  +4.5661385416666664E+04	
  +8.1500000000000000E+01	  +4.5661395833333336E+04	
  +8.1750000000000000E+01	  +4.5661406250000000E+04	
  +8.2000000000000000E+01	  +4.5661416666666664E+04	
  +8.2250000000000000E+01	  +4.5661427083333336E+04	
  +8.2500000000000000E+01	  +4.5661437500000000E+04	
  +8.2750000000000000E+01	  +4.5661447916666664E+04	
  +8.3000000000000000E+01	  +4.5661458333333336E+04	
  +8.3250000000000000E+01	  +4.5661468750000000E+04	
  +8.3500000000000000E+01	  +4.5661479166666664E+04	
  +8.3750000000000000E+01	  +4.5661489583333336E+04	
  +8.4000000000000000E+01	  +4.5661500000000000E+04	
  +8.4250000000000000E+01	  +4.5661510416666664E+04	
  +8.4500000000000000E+01	  +4.5661520833333336E+04	
  +8.4750000000000000E+01	  +4.5661531250000000E+04	
  +8.5000000000000000E+01	  +4.5661541666666664E+04	
  +8.5250000000000000E+01	  +4.5661552083333336E+04	
  +8.5500000000000000E+01	  +4.5661562500000000E+04	
  +8.5750000000000000E+01	  +4.5661572916666664E+04	
  +8.6000000000000000E+01	  +4.5661583333333336E+04	
  +8.6250000000000000E+01	  +4.5661593750000000E+04	
  +8.6500000000000000E+01	  +4.5661604166666664E+04	
  +8.6750000000000000E+01	  +4.5661614583333336E+04	
  +8.7000000000000000E+01	  +4.5661625000000000E+04	
  +8.7250000000000000E+01	  +4.5661635416666664E+04	
  +8.7500000000000000E+01	  +4.5661645833333336E+04	
  +8.7750000000000000E+01	  +4.5661656250000000E+04	
  +8.8000000000000000E+01	  +4.5661666666666664E+04	
  +8.8250000000000000E+01	  +4.5661677083333336E+04	
  +8.8500000000000000E+01	  +4.5661687500000000E+04	
  +8.8750000000000000E+01	  +4.5661697916666664E+04	
  +8.9000000000000000E+01	  +4.5661708333333336E+04	
  +8.9250000000000000E+01	  +4.5661718750000000E+04	
  +8.9500000000000000E+01	  +4.5661729166666664E+04	
  +8.9750000000000000E+01	  +4.5661739583333336E+04	
  +9.0000000000000000E+01	  +4.5661750000000000E+04	
  +9.0250000000000000E+01	  +4.5661760416666664E+04	
  +9.0500000000000000E+01	  +4.5661770833333336E+04	
  +9.0750000000000000E+01	  +4.5661781250000000E+04	
  +9.1000000000000000E+01	  +4.5661791666666664E+04	
  +9.1250000000000000E+01	  +4.5661802083333336E+04	
  +9.1500000000000000E+01	  +4.5661812500000000E+04	
  +9.1750000000000000E+01	  +4.5661822916666664E+04	
  +9.2000000000000000E+01	  +4.5661833333333336E+04	
  +9.2250000000000000E+01	  +4.5661843750000000E+04	
  +9.2500000000000000E+01	  +4.5661854166666664E+04	
  +9.2750000000000000E+01	  +4.5661864583333336E+04	
  +9.3000000000000000E+01	  +4.5661875000000000E+04	
  +9.3250000000000000E+01	  +4.5661885416666664E+04	
  +9.3500000000000000E+01	  +4.5661895833333336E+04	
  +9.3750000000000000E+01	  +4.5661906250000000E+04	
  +9.4000000000000000E+01	  +4.5661916666666664E+04	
  +9.4250000000000000E+01	  +4.5661927083333336E+04	
  +9.4500000000000000E+01	  +4.5661937500000000E+04	
  +9.4750000000000000E+01	  +4.5661947916666664E+04	
  +9.5000000000000000E+01	  +4.5661958333333336E+04	
  +9.5250000000000000E+01	  +4.5661968750000000E+04	
  +9.5500000000000000E+01	  +4.5661979166666664E+04	
  +9.5750000000000000E+01	  +4.5661989583333336E+04	
  +9.6000000000000000E+01	  +4.5662000000000000E+04	
  +9.6250000000000000E+01	  +4.5662010416666664E+04	
  +9.6500000000000000E+01	  +4.5662020833333336E+04	
  +9.6750000000000000E+01	  +4.5662031250000000E+04	
  +9.7000000000000000E+01	  +4.5662041666666664E+04	
  +9.7250000000000000E+01	  +4.5662052083333336E+04	
  +9.7500000000000000E+01	  +4.5662062500000000E+04	
  +9.7750000000000000E+01	  +4.5662072916666664E+04	
  +9.8000000000000000E+01	  +4.5662083333333336E+04	
  +9.8250000000000000E+01	  +4.5662093750000000E+04	
  +9.8500000000000000E+01	  +4.5662104166666664E+04	
  +9.8750000000000000E+01	  +4.5662114583333336E+04	
  +9.9000000000000000E+01	  +4.5662125000000000E+04	
  +9.9250000000000000E+01	  +4.5662135416666664E+04	
  +9.9500000000000000E+01	  +4.5662145833333336E+04	
  +9.9750000000000000E+01	  +4.5662156250000000E+04	
  +1.0000000000000000E+02	  +4.5662166666666664E+04	
  +1.0025000000000000E+02	  +4.5662177083333336E+04	
  +1.0050000000000000E+02	  +4.5662187500000000E+04	
  +1.0075000000000000E+02	  +4.5662197916666664E+04	
  +1.0100000000000000E+02	  +4.5662208333333336E+04	
  +1.0125000000000000E+02	  +4.5662218750000000E+04	
  +1.0150000000000000E+02	  +4.5662229166666664E+04	
  +1.0175000000000000E+02	  +4.5662239583333336E+04	
  +1.0200000000000000E+02	  +4.5662250000000000E+04	
  +1.0225000000000000E+02	  +4.5662260416666664E+04	
  +1.0250000000000000E+02	  +4.5662270833333336E+04	
  +1.0275000000000000E+02	  +4.5662281250000000E+04	
  +1.0300000000000000E+02	  +4.5662291666666664E+04	
  +1.0325000000000000E+02	  +4.5662302083333336E+04	
  +1.0350000000000000E+02	  +4.5662312500000000E+04	
  +1.0375000000000000E+02	  +4.5662322916666664E+04	
  +1.0400000000000000E+02	  +4.5662333333333336E+04	
  +1.0425000000000000E+02	  +4.5662343750000000E+04	
  +1.0450000000000000E+02	  +4.5662354166666664E+04	
  +1.0475000000000000E+02	  +4.5662364583333336E+04	
  +1.0500000000000000E+02	  +4.5662375000000000E+04	
  +1.0525000000000000E+02	  +4.5662385416666664E+04	
  +1.0550000000000000E+02	  +4.5662395833333336E+04	
  +1.0575000000000000E+02	  +4.5662406250000000E+04	
  +1.0600000000000000E+02	  +4.5662416666666664E+04	
  +1.0625000000000000E+02	  +4.5662427083333336E+04	
  +1.0650000000000000E+02	  +4.5662437500000000E+04	
  +1.0675000000000000E+02	  +4.5662447916666664E+04	
  +1.0700000000000000E+02	  +4.5662458333333336E+04	
  +1.0725000000000000E+02	  +4.5662468750000000E+04	
  +1.0750000000000000E+02	  +4.5662479166666664E+04	
  +1.0775000000000000E+02	  +4.5662489583333336E+04	
  +1.0800000000000000E+02	  +4.5662500000000000E+04	
  +1.0825000000000000E+02	  +4.5662510416666664E+04	
  +1.0850000000000000E+02	  +4.5662520833333336E+04	
  +1.0875000000000000E+02	  +4.5662531250000000E+04	
  +1.0900000000000000E+02	  +4.5662541666666664E+04	
  +1.0925000000000000E+02	  +4.5662552083333336E+04	
  +1.0950000000000000E+02	  +4.5662562500000000E+04	
  +1.0975000000000000E+02	  +4.5662572916666664E+04	
  +1.1000000000000000E+02	  +4.5662583333333336E+04	
  +1.1025000000000000E+02	  +4.5662593750000000E+04	
  +1.1050000000000000E+02	  +4.5662604166666664E+04	
  +1.1075000000000000E+02	  +4.5662614583333336E+04	
  +1.1100000000000000E+02	  +4.5662625000000000E+04	
  +1.1125000000000000E+02	  +4.5662635416666664E+04	
  +1.1150000000000000E+02	  +4.5662645833333336E+04	
  +1.1175000000000000E+02	  +4.5662656250000000E+04	
  +1.1200000000000000E+02	  +4.5662666666666664E+04	
  +1.1225000000000000E+02	  +4.5662677083333336E+04	
  +1.1250000000000000E+02	  +4.5662687500000000E+04	
  +1.1275000000000000E+02	  +4.5662697916666664E+04	
  +1.1300000000000000E+02	  +4.5662708333333336E+04	
  +1.1325000000000000E+02	  +4.5662718750000000E+04	
  +1.1350000000000000E+02	  +4.5662729166666664E+04	
  +1.1375000000000000E+02	  +4.5662739583333336E+04	
  +1.1400000000000000E+02	  +4.5662750000000000E+04	
  +1.1425000000000000E+02	  +4.5662760416666664E+04	
  +1.1450000000000000E+02	  +4.5662770833333336E+04	
  +1.1475000000000000E+02	  +4.5662781250000000E+04	
  +1.1500000000000000E+02	  +4.5662791666666664E+04	
  +1.1525000000000000E+02	  +4.5662802083333336E+04	
  +1.1550000000000000E+02	  +4.5662812500000000E+04	
  +1.1575000000000000E+02	  +4.5662822916666664E+04	
  +1.1600000000000000E+02	  +4.5662833333333336E+04	
  +1.1625000000000000E+02	  +4.5662843750000000E+04	
  +1.1650000000000000E+02	  +4.5662854166666664E+04	
  +1.1675000000000000E+02	  +4.5662864583333336E+04	
  +1.1700000000000000E+02	  +4.5662875000000000E+04	
  +1.1725000000000000E+02	  +4.5662885416666664E+04	
  +1.1750000000000000E+02	  +4.5662895833333336E+04	
  +1.1775000000000000E+02	  +4.5662906250000000E+04	
  +1.1800000000000000E+02	  +4.5662916666666664E+04	
  +1.1825000000000000E+02	  +4.5662927083333336E+04	
  +1.1850000000000000E+02	  +4.5662937500000000E+04	
  +1.1875000000000000E+02	  +4.5662947916666664E+04	
  +1.1900000000000000E+02	  +4.5662958333333336E+04	
  +1.1925000000000000E+02	  +4.5662968750000000E+04	
  +1.1950000000000000E+02	  +4.5662979166666664E+04	
